Obs	log_k_s2o4_disp	log_k_s2o4_o2	log_k_s2o4_fe3	log_sitefrac	log_k_fe2_o2_fast	log_factor_k_fe2_o2_slow	log_k_fe2_cr6_fast	log_factor_k_fe2_cr6_slow	log_is2o4	log_ifeoh3	log_q	log_aqfrac	log_k_fe2aq_o2	log_k_fe2aq_cr6
Cr6_Obs_t1	0	0	0	0	0	0	0	0	0	0	0.007488000000000004	0	0	0
Cr6_Obs_t2	0	0	0	0	0	0	0	0	0	0	0.007488000000000004	0	0	0
Cr6_Obs_t3	0	0	0	0	0	0	0	0	0	0	0.0074879956	0	0	0
Cr6_Obs_t4	21000000002824315e-25	-9999999960041972e-26	-3999999984016789e-25	-5400000000106708e-24	-9999999960041972e-26	29999999880125916e-26	10999999999414256e-25	0	-8000000011401665e-25	-21999999998828512e-25	0.007482487600000004	-15999999979435242e-25	-8000000011401665e-25	-21999999998828512e-25
Cr6_Obs_t5	4897000000034929e-22	-25700000001391277e-24	-17849999999798583e-23	-7763999999984769e-22	-16800000002259452e-24	662999999996236e-22	20650000000319718e-23	26000000026213388e-25	-30979999999809077e-23	-45439999999709324e-23	0.007047579699999999	-42320000000033164e-23	-8469999999982658e-23	-554600000000037e-21
Cr6_Obs_t6	19616799999998616e-21	-8325000000041632e-22	-10396400000004663e-21	-1971110000000345e-20	-5347000000014909e-22	2081599999995999e-21	5834799999999973e-21	11629999999498986e-23	-17879000000003628e-21	-1772920000000372e-20	0.0016368481999999964	-19552499999999674e-21	-34720000000043605e-23	-24644300000002152e-21
Cr6_Obs_t7	0.0002206438000000024	-7068800000000104e-21	-0.00014481619999999907	-0.00013456069999999518	-4399700000001089e-21	16515000000002535e-21	4197870000000048e-20	8891999999987785e-22	-0.00024747469999999733	-0.00019923419999999872	-0.012594940999999998	-0.00024283119999999898	16316500000002065e-21	-0.000295202399999998
Cr6_Obs_t8	0.0008433373999999988	-19267099999999496e-21	-0.0006056712000000004	-0.00029505510000000113	-11500400000003831e-21	41146300000000254e-21	9419909999999927e-20	16703999999997596e-22	-0.0010217899000000003	-0.0007511368000000023	-0.01723347879	-0.0009575937000000022	7824259999999854e-20	-0.0011291117999999998
Cr6_Obs_t9	0.0011266954099999993	-17375040000000737e-21	-0.0007958031100000016	-0.000215899310000001	-9934440000000915e-21	3424204999999858e-20	6938619999999969e-20	1021039999998894e-21	-0.0013081913600000012	-0.0009494485900000016	-0.008489836386000002	-0.0012159811500000008	7163698999999835e-20	-0.0014060177600000012
Cr6_Obs_t10	0.0005572514499999998	-5537439999999609e-21	-0.0003538976499999999	-5739052999999999e-20	-30579400000000333e-22	10453860000000036e-21	1841874000000016e-20	37175000000018834e-23	-0.00056008475	-0.00042098726999999984	-0.001916579586	-0.0005281408899999998	17886150000000266e-21	-0.0006051667699999999
Cr6_Obs_t11	0.00012876572000000003	-8153999999999855e-22	-6916505999999997e-20	-733932099999999e-20	-44137199999996166e-23	1543548000000001e-21	23514370000000275e-22	9424100000004273e-23	-0.00010501360799999998	-8358899299999998e-20	-0.00024330988714999998	-0.00010159091999999998	1990252000000043e-21	-0.00011548933399999997
Cr6_Obs_t12	19149760599999998e-21	-8015919999999905e-23	-84427557e-13	-6535944999999991e-22	-43374499999998004e-24	158024100000004e-21	20996750000000165e-23	15177700000001988e-24	-12357555199999998e-21	-10467854899999999e-21	-22769393703799998e-21	-123085162e-13	15318440000000066e-23	-13839244649999999e-21
Cr6_Obs_t13	23442255499999997e-22	-695433000000003e-23	-8449736300000001e-22	-522080999999999e-22	-3836760000000013e-24	1463741999999983e-23	16858200000000148e-24	1904209999999956e-24	-12033222070000002e-22	-1080164895e-15	-194299821715e-17	-1233337007e-15	1036181999999982e-23	-13699145780000002e-22
Cr6_Obs_t14	266511389e-15	-6031240000000218e-25	-7948886170000002e-23	-4018319000000002e-24	-34398800000000243e-26	13736569999999895e-25	13006860000000053e-25	22244399999996975e-26	-11121757730000001e-23	-10497502640000002e-23	-166629283299e-18	-11703106760000001e-23	6979559999999767e-25	-12855163650000003e-23
Cr6_Obs_t15	28990379099999997e-24	-53141900000001107e-27	-7313461720000001e-24	-2845745999999998e-25	-31540799999999094e-27	13109899999999936e-26	915789000000011e-25	25174099999997406e-27	-10122658819999999e-24	-9971943979999999e-24	-145507944793e-19	-1090877186e-17	51436699999998514e-27	-1187307785e-17
Cr6_Obs_t16	248396007e-17	-3914999999999981e-27	-5539561209999999e-25	-1419311000000003e-26	-3993649999999952e-27	10447990000000016e-27	3929719999999948e-27	2315289999999929e-27	-762843016e-18	-782345716e-18	-1069415123833e-21	-841994556e-18	37633900000000264e-28	-908928033e-18
Cr6_Obs_t17	18342349910000002e-26	-3513146999999987e-28	-356967121e-19	-6065120000000367e-29	-1640885000000007e-28	6980107000000034e-28	-60241999999975864e-31	17148090000000617e-29	-491108495e-19	-521239656e-19	-6797237620450001e-26	-55437833e-18	29509029999999624e-29	-5942043045e-20
Cr6_Obs_t18	12630574529999999e-27	-14895189999999432e-30	-218920676e-20	487499100000005e-28	-343356999999921e-29	4309761000000071e-29	-18340069999999193e-30	11292530000000436e-30	-30164778799999995e-28	-32905102309999994e-28	-41399542901999995e-28	-3469261536e-21	2413348000000015e-29	-3701317974e-21
