Obs	log_k_s2o4_disp	log_k_s2o4_o2	log_k_s2o4_fe3	log_sitefrac	log_k_fe2_o2_fast	log_factor_k_fe2_o2_slow	log_k_fe2_cr6_fast	log_factor_k_fe2_cr6_slow	log_is2o4	log_ifeoh3	log_q	log_aqfrac	log_k_fe2aq_o2	log_k_fe2aq_cr6
Cr6_Obs_t1	0	0	0	0	0	0	0	0	0	0	0.0005760000000000053	0	0	0
Cr6_Obs_t2	0	0	0	0	0	0	0	0	0	0	0.0005760000000000053	0	0	0
Cr6_Obs_t3	0	0	0	0	0	0	0	0	0	0	0.0005760000000000053	0	0	0
Cr6_Obs_t4	15000000026799132e-25	-14999999983431045e-25	-9999999960041972e-26	19999999920083947e-26	13999999987426848e-25	-32999999998242772e-25	-11999999995418453e-25	-14999999983431045e-25	-9999999960041973e-26	9999999960041973e-26	0.0005759967000000012	4999999980020986e-25	1599999997943524e-24	-19999999920083947e-26
Cr6_Obs_t5	28040000000281035e-23	-21370000000044825e-23	-27600000002472872e-24	46200000001876684e-24	25710000000050276e-23	-5020000000020494e-22	-18400000000202976e-23	-23940000000183953e-23	-419000000017114e-22	19500000000144402e-24	0.0005749142999999981	8699999999930985e-23	3128999999987142e-22	-49099999998962474e-24
Cr6_Obs_t6	8659399999997805e-21	-527800000000439e-20	-12628000000021455e-22	1402399999999443e-21	7346999999998694e-21	-12996099999999094e-21	-4904800000003762e-21	-6466400000004585e-21	-19621000000007854e-22	1637999999960088e-22	0.0005263632000000002	1800999999998325e-21	923589999999707e-20	-2193000000001895e-21
Cr6_Obs_t7	7145440000000045e-20	-3410079999999812e-20	-1533109999999737e-20	10522200000000724e-21	5318360000000113e-20	-8959690000000069e-20	-3440329999999936e-20	-4586779999999919e-20	-24206300000000243e-21	-5307799999998072e-21	3219310000000114e-20	21989000000000036e-22	6931210000000413e-20	-26098399999998842e-21
Cr6_Obs_t8	0.0001981504999999965	-689391000000027e-19	-5985530000000069e-20	24381299999999204e-21	0.00011971209999999972	-0.0001977430000000028	-7705099999999812e-20	-0.00010338310000000422	-9526800000000425e-20	-4151110000000409e-20	-0.0012283024000000033	-4361950000000142e-20	0.00016180790000000066	-0.00010043720000000103
Cr6_Obs_t9	0.00019729655999999992	-4508424000000113e-20	-7739654000000085e-20	18915969999999584e-21	8831987999999898e-20	-0.00014575723000000216	-57738510000002186e-21	-7711619000000001e-20	-0.00012330388000000143	-7214005000000159e-20	-0.0014503801000000007	-9936886000000032e-20	0.00012255488999999968	-0.0001296027100000012
Cr6_Obs_t10	7629455000000043e-20	-10324140000000123e-21	-3523853999999989e-20	55446799999999525e-22	23483049999999995e-21	-39166219999999755e-21	-15813889999999743e-21	-20677409999999587e-21	-5594689999999995e-20	-38686079999999804e-21	-0.0005183122399999998	-5734122999999993e-20	330269700000001e-19	-59927119999999945e-21
Cr6_Obs_t11	14507692000000015e-21	-10937199999999601e-22	-7207750999999981e-21	8180790000000347e-22	3006966000000041e-21	-5084992000000008e-21	-20949640000000077e-22	-2636900999999964e-21	-1139218699999998e-20	-8815791999999976e-21	-8212016299999997e-20	-13299807999999974e-21	4263536000000009e-21	-1261737099999998e-20
Cr6_Obs_t12	18512771000000007e-22	-771164999999964e-22	-9258439999999992e-22	8590920000000319e-23	2699060999999994e-22	-46115319999999956e-23	-19383359999999965e-23	-23232719999999732e-23	-14586083999999999e-22	-12322492999999995e-22	-84468064e-13	-18509353000000018e-22	3850983999999984e-22	-1682031199999998e-21
Cr6_Obs_t13	20014531000000004e-23	-4222300000000158e-24	-9697284000000009e-23	8216989999999726e-24	21849859999999916e-24	-37664210000000006e-24	-16211150000000318e-24	-18294510000000042e-24	-1526266800000001e-22	-13911796e-14	-7499313800000001e-22	-20629880000000006e-23	31418369999999804e-24	-18395398999999992e-23
Cr6_Obs_t14	20450128999999986e-24	-7744000000003567e-26	-9449147000000038e-24	7924119999999773e-25	17085289999999977e-25	-29993980000000004e-25	-13394240000000124e-25	-13813790000000026e-25	-1489293400000002e-23	-14543762000000018e-24	-6623200300000002e-23	-21253599000000014e-24	25024039999999946e-25	-18794946000000003e-24
Cr6_Obs_t15	20301364e-16	2958739999999927e-26	-8954547000000005e-25	7681940000000079e-26	12329219999999935e-26	-2261591999999989e-25	-107635800000001e-24	-9483950000000072e-26	-14077541000000003e-25	-14696305000000002e-25	-6009250850000002e-24	-21118103000000013e-25	18875129999999855e-26	-18596712999999996e-25
Cr6_Obs_t16	16452645999999982e-26	61967699999999476e-28	-6905424e-17	61222500000000974e-28	5695439999999995e-27	-11944170000000079e-27	-65606400000000345e-28	-388446999999987e-26	-10908171199999997e-26	-12161410700000003e-26	-4870146130000001e-25	-172595703e-18	9977690000000076e-27	-15139950499999993e-26
Cr6_Obs_t17	11187464800000001e-27	7208796000000006e-28	-44984291999999986e-28	3987142999999977e-28	50664300000002995e-30	-32217359999999807e-29	-28317380000000774e-29	22061200000005952e-30	-7146202699999991e-27	-8497157000000005e-27	-333299247e-19	-11932706999999998e-27	2712195000000071e-28	-10413170000000005e-27
